WRITTEN AND DEVELOPED BY,НАПИСАНО И РАЗРАБОТАНО
PUBLISHED BY,ИЗДАНО
WITH FINANCIAL SUPPORT FROM,ПРИ ФИНАНСОВОЙ ПОДДЕРЖКЕ
PRODUCED BY,ПРОИЗВЕДЕНО
ART,АРТ
KEY ART,КЛЮЧЕВОЙ АРТ
MUSIC,МУЗЫКА
SOUND FX,ЗВУКОВЫЕ ЭФФЕКТЫ
ADDITIONAL WRITING,ДОПОЛНИТЕЛЬНЫЙ СЦЕНАРИЙ
ADDITIONAL CODIING,ДОПОЛНИТЕЛЬНОЕ ПРОГРАММИРОВАНИЕ
A special thanks to NAIVE,Огромная благодарность NAIVE
for their work on,за их работу над
the Skald Trailer,трейлером Skald
A special thanks to ARTISTRY,Огромная благодарность ARTISTRY
the Launch Trailer,за трейлер к запуску
CROWDFUNDERS,КРАУДФАНДЕРЫ
DARK LORD TIER,УРОВЕНЬ ТЕМНЫЙ ЛОРД
DEITY TIER,УРОВЕНЬ БОЖЕСТВА
IMPERATOR TIER,УРОВЕНЬ ИМПЕРАТОРА
HIGH WIZARD TIER,УРОВЕНЬ ВЕЛИКИЙ МАГ
KNIGHT TIER,УРОВЕНЬ РЫЦАРЬ
Workshop,Мастерская
Special Mention,Особая благодарность
General Manager,Генеральный директор
Head of Business Development,Глава отдела развития бизнеса
Senior Business Development Manager,Старший менеджер по развитию
Director of Quality Assurance,Директор по контролю качества
QA Operations Manager,Менеджер по операционной деятельности QA
Lead QA Project Manager,Ведущий менеджер проектов QA
QA Lab Managers,Менеджеры лаборатории QA
Learning & Development Manager,Менеджер по обучению и развитию
Learning & Development Coordinator,Координатор по обучению и развитию
Learning & Development Specialists,Специалисты по обучению и развитию
QA Team Leader,Руководитель команды QA
QA Testers,Тестировщики QA
IT Director,ИТ-директор