original,translation,
#Chapter 0,#Capitulo 0,
Man Over Board,Hombre a bordo,
Roland fell overboard,Roland cayó por la borda,
An Old Boar,Un viejo jabalí,
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate","Me encontré con Kydeon, uno de los viejos amigos de mi padre, en la finca de Berryn",
It was good to see the old boar again,Me alegró volver a ver al viejo jabalí,
Waking up,Despertar,
I woke up in the hold of the Zephyr to find something is wrong on the ship,Me desperté en la bodega del Céfiro y descubrí que algo iba mal en el barco.,
#Chapter 1,#Capítulo 1,
A Foul Cave,Una cueva asquerosa,
I discovered a cave near the spot where I landed on Idra,Descubrí una cueva cerca del lugar donde aterricé en Idra,
A foul stench of rotting flesh and seaweed lies thick inside,Un hedor nauseabundo a carne podrida y algas yace en el interior,
Driina the Sepulchite,Driina la Sepulcita,
I was joined by a Sepulchite cleric by the name Driina,Me acompañó una clériga Sepulcita llamada Driina,
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,Ella pretende buscar un camino hacia la ciudad de Horryn que aparentemente ha sido invadida por cultistas,
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader","Antes de que dejemos el campamento, ella insiste en que hagamos una parada en el campamento de- líder de facto del campamento",
Someone named Markus who is holed up in a stable nearby,Alguien llamado Markus que está escondido en un establo cercano,
A Floating Corpse,Un cadáver flotante,
I found a lost soul in the underwater cave system under the lighthouse,Encontré un alma perdida en el sistema de cuevas submarinas bajo el faro,
The poor wretch must have gotten lost in the darkness and drowned,El pobre desgraciado debe haberse perdido en la oscuridad y se ahogó,
I must take care I do not share his fate,Debo tener cuidado de no compartir su destino,
There was a key on the corpse,Había una llave en el cadáver había una llave en el cadáver,
Embla in Horryn,Embla en Horryn,
Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun,"Frantzo, el antiguo posadero, acaba de decirme que Embla se alojó en su posada de Horryn en los días previos a las calamidades que asolaron la ciudad",
The Gates are Sealed,Las puertas están selladas,
I searched for a way into Horryn but had little luck,"He buscado una forma de entrar en Horryn, pero he tenido poca suerte",
"For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself","Por ahora, parece que debo buscar otra forma de sobrevivir en esta isla estéril hasta que se presente una oportunidad",
"Till then, the island no doubt overflows with desperate wretches in need of assistance","Hasta entonces, la isla sin duda rebosa de desgraciados desesperados que necesitan ayuda",
"Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight","Hasta entonces, Driina sugiere que debemos volver al campo de refugiados y hacer todo lo que podamos para ayudarles en su desesperada situación.",
A Ritual Dagger,Una Daga Ritual,
I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra,Recuperé una extraña daga de edad indeterminada de las cuevas submarinas bajo el faro de Idra,
It appears to have been a form of ritual implement and I suspect it might still hold both significance and power,Parece haber sido una forma de instrumento ritual y sospecho que todavía podría tener tanto significado como poder,
Astronomer's Journal,Diario del Astrónomo,
I found a strange journal that seems to have belonged to an Imperial astronomer,Encontré un extraño diario que parece haber pertenecido a un astrónomo imperial,
"It appears the poor man felt the stars are somehow ""wrong"" after spotting a strange star-cluster in the southeastern quadrant","Parece que el pobre hombre sentía que las estrellas estaban de alguna manera ""mal"" después de ver un extraño cúmulo estelar en el cuadrante sureste. cúmulo en el cuadrante sureste",
A Feast for Lizards,Un festín para los lagartos,
I found scraps of rotting flesh in the lizard-cave on Idra,Encontré restos de carne podrida en la cueva de los lagartos en Idra,
I wonder if the reptiles would gorge themselves if they had more flesh?,Me pregunto si los reptiles se atiborrarían si tuvieran más carne.,
Goat Gold,El oro de las cabras,
"Jakub the farmer, paid me a small bribe to keep quiet about his hidden goats","Jakub, el granjero, me pagó un pequeño soborno para que no hablara de sus cabras ocultas",
Jakub is Done Talking,Jakub ha terminado de hablar,
"Jakub, the Idran goat farmer, has made it clear he has nothing more to say regarding the issue of his hidden goats","Jakub, el granjero de cabras de Idran, ha dejado claro que no tiene nada más que decir sobre el asunto de sus cabras ocultas",
The Gravedigger,El sepulturero,
I met a poor fellow outside the Idran refugee camp,Conocí a un pobre hombre a las afueras del campo de refugiados de Idran,
Ha had the thankless task of burying dead refugees,Ha tenido la ingrata tarea de enterrar a los refugiados muertos,
I offered to help him before the horrid entities that roam the island made short work of him,Me ofrecí a ayudarle antes de que las horribles entidades que vagan por la isla hicieran un trabajo rápido con él,
"Needless to say, he didn’t think twice",Ni que decir tiene que no se lo pensó dos veces no se lo pensó dos veces,
The Hidden Glen,La cañada escondida,
I learned the way to a hidden glen near the refugee camp on Idra,Aprendí el camino a una cañada escondida cerca del campo de refugiados en Idra,
The best way to get there is to find and follow the goat tracks behind the old goat enclosure on Jakub’s farm,La mejor manera de llegar allí es encontrar y seguir las huellas de cabra detrás del viejo recinto de cabras en la granja de Jakub,
A Survivor,Un superviviente,
I found a sailor named Andry cowering in the foul caves near my landing site on Idra,Encontré a un marinero llamado Andry encogido en las cuevas asquerosas cerca de mi lugar de aterrizaje en Idra,
He thanked me profusely for the help and made his way out to look for fellow survivors,Me agradeció profusamente por la ayuda y se dirigió a buscar compañeros supervivientes,
The Lighthouse,El faro,
I made it to the lighthouse and met its keeper Mathias,"Llegué al faro y conocí a su guardián, Mathias",
A haggard old fellow that had barricaded himself on the top floor of the structure,Un anciano demacrado que se había atrincherado en el último piso de la estructura,
"To his credit, he’s managed to keep the lighthouse running throughout the calamities that are befalling this island","A su favor, se las ha arreglado para mantener el faro en funcionamiento a lo largo de las calamidades que se ciernen sobre esta isla",
No doubt this is critical to the survival of those still caught out at sea,"Sin duda, esto es fundamental para la supervivencia de los que todavía están atrapados en el mar",
The second keeper,El segundo guardián,
The lighthouse in Idra seems to have had a second keeper,El faro de Idra parece haber tenido un segundo guardián,
A man named Caspar who seemingly went mad dreaming about caves underneath the lighthouse,Un hombre llamado Caspar que aparentemente se volvió loco soñando con cuevas debajo del faro,
His writing mentions a “blade” calling him there,Su escritura menciona una «hoja» que lo llama allí,
Monoliths,Monolitos,
There are strange monoliths on Idra,Hay extraños monolitos en Idra,
"Though they appear to be ancient, it seems someone is still performing rituals at them","Aunque parecen ser antiguos, parece que alguien sigue celebrando rituales en ellos",
Surviving Sailors,Marineros supervivientes,
I came across a group of survivors from the Zephyr,Me encontré con un grupo de supervivientes del Céfiro,
"They were hold up in some abandoned fishing huts and their leader, Snow, asked that I send any other survivors from the Zephyr to their camp","Estaban retenidos en unas cabañas de pesca abandonadas y su líder, Snow, me pidió que enviara a cualquier otro superviviente del Céfiro a su campamento",
The Telescope,El telescopio,
"Though I cannot really put into words what I saw, I used the astronomer’s telescope and I saw terrible things","Aunque realmente no puedo expresar con palabras lo que vi, Utilicé el telescopio del astrónomo y vi cosas terribles",
I am beset by a deep certainty that something is gravely wrong on this island,Me asalta la profunda certeza de que algo va gravemente mal en esta isla,
The Weathermaiden's Plight,La difícil situación de la doncella del tiempo,
A crewman from the ship “Weathermaiden” has asked that I seek out the first mate Zhara,Un tripulante del barco «Weathermaiden» me ha pedido que busque a la primera oficial Zhara,
They are holed up in a large sea-cave at position 66 by 91 on the Outer Isles map,Están encerrados en una gran cueva marina en la posición 66 por 91 en el mapa de las Islas Exteriores,
That should make it north-west of the refugee-camp,Eso debería estar al noroeste del campamento de refugiados,
An Abandoned Farm,Una granja abandonada,
I came across a small abandoned farm near the beach where I came ashore on Idra,Encontré una pequeña granja abandonada cerca de la playa donde desembarqué en Idra.,
It’s pretty derelict but it might serve well enough as a makeshift camp,"Está bastante abandonado, pero podría servir como campamento improvisado",
Markus the Chamberlain,"Markus, el chambelán",
I met and spoke with the de-facto leader of the refugee camp north of Horryn,Me reuní y hablé con el líder de facto del campo de refugiados al norte de Horryn,
Apparently the town has been overrun by crazed cultists,"Al parecer, la ciudad ha sido invadida por cultistas enloquecidos",
"Worse, the city-gates are apparently sealed making it impossible to get back in","Peor aún, las puertas de la ciudad están selladas, por lo que es imposible volver a entrar",
For now my energy might be well spent trying to ease the plight of the refugees,Por ahora mi energía podría estar bien empleada tratando de aliviar la difícil situación de los refugiados,
Smuggler's Cache,Smuggler's Cache,
I found an abandoned smuggler's cache in one of the Caves on Idra,Encontré un alijo de contrabando abandonado en una de las cuevas de Idra,
Perhaps there are more like it to be found on the Outer Isles?,¿Quizás haya más como este en las Islas Exteriores?,
The Wreck Picker,El recogedor de restos,
I met a strange old wreck picker by the name of Basilo,Conocí a un viejo y extraño recogedor de restos llamado Basilo,
"Though I should be careful in trusting him, he has offered to buy any scrap I find on the beach","Aunque debería tener cuidado al confiar en él, se ha ofrecido a comprarme cualquier chatarra que encuentre en la playa",
I can find him in an old farm house north of where I landed on Idra,Puedo encontrarlo en una vieja granja al norte de donde desembarqué en Idra,
The Zephyr,El Céfiro,
Apparently the wreck of the Zephyr has shifted enough in the tides that it is now possible to enter it,"Al parecer, los restos del Céfiro se han movido lo suficiente con las mareas como para que ahora sea posible entrar en él.",
#Chapter 2,#Capítulo 2,
Oleg's Plan,El plan de Oleg,
I told Oleg that the Butcher has gotten hold of his unholy tablets,Le dije a Oleg que el Carnicero se había hecho con sus impías tablillas,
The news caused the old chieftain to decide to attempt to end the Butcher,La noticia hizo que el viejo cacique decidiera intentar acabar con el Carnicero,
"I suspect that Oleg doesn’t stand a chance against him alone so perhaps I should ask the third chieftain, Kala, to side with Oleg?","Sospecho que Oleg no tiene ninguna posibilidad de enfrentarse a él solo, así que tal vez debería pedirle al tercer cacique, Kala, que se ponga del lado de Oleg.",
Together they might be able to take down the Butcher,Juntos podrían acabar con el Carnicero,
Oleg the Gray is Dead,Oleg el Gris ha muerto,
The Reaver chief Oleg the Gray is dead,El jefe Reaver Oleg el Gris ha muerto,
Oleg's Right to Rule,El derecho de Oleg a gobernar,
I met one of the three Reaver chieftains,Conocí a uno de los tres jefes Reaver,
Oleg,Oleg,
He’s the oldest of the three and claims to hold ‘sacred’ tablets that gives him the right to rule over his siblings,Es el mayor de los tres y afirma poseer unas tablas «sagradas» que le dan derecho a gobernar sobre sus hermanos,"Он самый старший из троих и утверждает, что владеет ""священными"" скрижалями, которые дают ему право управлять своими братьями и сестрами: Калой и Мясником."
He’s asked me to seek them out and remind them of that fact,Me ha pedido que los busque y les recuerde ese hecho,
Queen Kala is Dead,La reina Kala ha muerto,
The Reaver chief 'queen' Kala is dead,"La “reina” Kala, jefa de los Reaver, ha muerto",
The Butcher is Dead,El Carnicero ha muerto,
The Reaver chief known as 'the Butcher' is dead,"El jefe de los Reaver, conocido como «el Carnicero», ha muerto",
The Reaver Tablets,Las Tablas Reaver Tablas,
I gave the Reaver Tablets to the Butcher,Le di las Tablas Reaver al Carnicero,
He now intends to make an offering of Oleg as part of his ascent to Father's side,Ahora pretende hacer una ofrenda de Oleg como parte de su ascenso al lado de Padre,
He's asked me to go tell Kala he wants her at his side for the final slaughter,Me ha pedido que vaya a decirle a Kala que la quiere a su lado para la matanza final,
The Butcher's Designs,Los diseños del Carnicero,
I met the Reaver chieftain that calls himself “The Butcher,"Conocí al jefe Reaver que se hace llamar ""El Carnicero",
He’s determined to win the favor of the one the Reavers call Father by subjugating his siblings,Está decidido a ganar el favor del que los Reavers llaman Padre subyugando a sus hermanos,
Oleg and Kala,Oleg y Kala,
For starters he’s asked me to steal a pair of unholy tablets that are currently in the possession of Oleg,Para empezar me ha pedido que robe un par de tablas impías que están actualmente en posesión de Oleg,
They are being kept in tunnels under Oleg's lodge in the east end of town,Están guardadas en túneles bajo la cabaña de Oleg en el extremo este de la ciudad,
There is apparently a secret entrance to them if I “don’t mind wading through shit,"Aparentemente hay una entrada secreta a ellas si me ""no me importa vadear la mierda",
The Waif,The Waif,
I met a young girl in the ruins of Horryn and managed to win her trust with some food,Conocí a una joven en las ruinas de Horryn y conseguí ganarme su confianza con algo de comida,
She has proven quite resourceful and has successfully managed to evade the Reavers,Ha demostrado ser bastante ingeniosa y ha conseguido evadir a los Reavers,
It turns out she had quite a bit of information about them,Resulta que tenía bastante información sobre ellos,
She’s currently hiding in an alley west of the plaza,Actualmente se esconde en un callejón al oeste de la plaza,
A Strange Growth,Un extraño crecimiento,
I came across a strange fungus growing on some of the fresh corpses in the crypt under the Horryn temple,He encontrado un extraño hongo creciendo en algunos de los cadáveres frescos de la cripta bajo el templo de Horryn,
It’s difficult to say what it is but is seems to be out of place there,"Es difícil decir lo que es, pero parece estar fuera de lugar allí",
Joran the Usurper,Joran el Usurpador,
A strange and ancient creature clings to undeath in the bowels of the catacombs under Horryn,Una extraña y antigua criatura se aferra a la muerte en las entrañas de las catacumbas bajo Horryn. las entrañas de las catacumbas bajo Horryn,
The hateful creature will not rest until I bring it the sword of “Joran the Usurper,"La odiosa criatura no descansará hasta que le lleve la espada de ""Joran el Usurpador",
I wonder if this usurper could be buried in one of the other tombs in this catacomb,Me pregunto si este usurpador podría estar enterrado en alguna de las otras tumbas de esta catacumba,
Main Gate Opened,Puerta Principal Abierta,
The main gate of Horryn is now opened!,¡La puerta principal de Horryn está abierta!,
Sea-Gate Open,Puerta marítima abierta,
The Horryn sea-gate is now opened!,¡La puerta marítima de Horryn está abierta!,
The Art Dealer,El marchante de arte,
An art-dealer down in the Underhalls beneath Horryn is looking to buy strange and unusual artifacts if I find any,Un marchante de arte de los sótanos de Horryn quiere comprar artefactos extraños e inusuales si encuentro alguno,
Reaver Cellar,Bodega de los Segadores,
A pair of Reavers appeared to be guarding something in the cellar under Olge’s lodge,Parece que un par de Segadores vigilan algo en la bodega de la logia de Olge.,
#Chapter 3,#Capítulo 3,
To Find a Ship,Encontrar un barco,
We must find a ship willing to take us to Gradla,Debemos encontrar un barco dispuesto a llevarnos a Gradla,
Markus the chamberlain suggests I seek out the smugglers that are rumored to be holed up in a cave north-west of Horryn,Markus el chambelán sugiere que busque a los contrabandistas que se rumorea que están escondidos en una cueva al noroeste de Horryn,
That would place it somewhere near the location 66 by 91 on the Outer Isles map,Eso lo situaría en algún lugar cerca de la posición 66 por 91 en el mapa de las Islas Exteriores,
We must find a ship willing to take us to Gradla and I think the ship and crew hiding in the sea-caves north-west of town is likely my best bet,Debemos encontrar un barco dispuesto a llevarnos a Gradla y creo que el barco y la tripulación que se esconden en las cuevas marinas al noroeste de la ciudad es probablemente mi mejor apuesta,
The cave is located at position 66 by 91 on the Outer Isles map,La cueva se encuentra en la posición 66 por 91 en el mapa de las Islas Exteriores,
Horryn is Saved,Horryn está a salvo,
I managed to storm the keep in Horryn and stamp out the last remnants of the Reavers,Me las arreglé para asaltar la torre en Horryn y acabar con los últimos restos de los Reavers,
"Though hundreds are dead and the city in ruins, Horryn appears to be safe for now","Aunque cientos de personas han muerto y la ciudad está en ruinas, Horryn parece estar a salvo por ahora",
Iago Rejoins his Crew,Iago se reúne con su tripulación,
Iago has gone ahead to rejoin his crew and begin preparations for us to sail for Gradla,Iago se ha adelantado para reunirse con su tripulación y comenzar los preparativos para que zarpemos hacia Gradla,
He awaits us up in a large sea-cave at position 66 by 91 on the Outer Isles map,Él nos espera en una gran cueva en el mar en la posición 66 por 91 en el mapa de las Islas Exteriores,
That should make it north-west of Horryn,Eso debería hacerlo al noroeste de Horryn.,
#Chapter 4,#Capítulo 4,
Colony Collapse,Colapso de Colonias,
I found several dead or dying bee-hives in Firgol,Encontré varias colmenas muertas o moribundas en Firgol,
It seems the bees there are fighting amongst each other,Parece que las abejas de allí se están peleando entre ellas,
Firgol Bees,Abejas de Firgol,
"Despite assurances that ‘Firgol bees do not sting’, I found the bees in one of the hives to be quite aggressive","A pesar de las garantías de que «las abejas de Firgol no pican», Encontré las abejas en una de las colmenas a ser bastante agresivo",
I may need to find some way of pacifying them if I am going to get at the honey,Puede que tenga que encontrar alguna manera de pacificar ellos si voy a llegar a la miel,
Trapped Mine Tunnel,Túnel de la mina atrapado,
I’ve rigged one of the tunnels in the mine at Adler’s Helm to collapse,He amañado uno de los túneles de la mina en el Timón de Adler a colapsar,
The trap can be triggered by using a rope to pull away the remaining support-beam and I’m certain it could be done rapidly if need be,La trampa se puede activar mediante el uso de una cuerda para tirar de la viga de soporte restante y estoy seguro de que podría hacerse rápidamente si es necesario,
The False Tomb,La falsa tumba,
I found and opened the sarcophagus in the Priory catacombs central tomb-chamber,He encontrado y abierto el sarcófago en el Priorato catacumbas tumba central,
"Surprisingly, it turns out to be empty!","Sorprendentemente, ¡resulta estar vacía!",
A decoy perhaps?,¿Tal vez un señuelo?,
The Gong,El Gong,
I performed a ritual using the gong outside the tomb chamber,Realicé un ritual con el gong fuera de la cámara de la tumba,
I have a strong feeling it was correctly performed though I cannot tell exactly to what purpose,"Tengo la fuerte sensación de que se realizó correctamente, aunque no puedo decir exactamente con qué propósito",
Perhaps some kind of trap was deactivated?,¿Tal vez se desactivó algún tipo de trampa?,
Tunnels in the Dark,Túneles en la oscuridad,
I found a secret exit in the tomb-chamber that leads to tunnels engulfed by magical darkness,Encontré una salida secreta en la cámara de la tumba que conduce a unos túneles envueltos en una oscuridad mágica,
I feel certain the way forwards lie through these tunnels though I must take care not to get lost in the dark as I attempt to navigate them,"Estoy seguro de que el camino a seguir pasa por estos túneles, aunque debo tener cuidado de no perderme en la oscuridad mientras intento navegar por ellos",
The First Sarcophagus,El primer sarcófago,
I found a sarcophagus under the Priory with the following description,Encontré un sarcófago bajo el Priorato con la siguiente descripción,
Carroleth of the Crystal Eye - First Grandmaster of the Order of the Crystal Eye,Carroleth del Ojo de Cristal - Primer Gran Maestro de la Orden del Ojo de Cristal,
The Second Sarcophagus,El Segundo Sarcófago,
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,Rothrax el Gris - Segundo Gran Maestro de la Orden del Ojo de Cristal,
The Third Sarcophagus,El Tercer Sarcófago,
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,Kalamar el Sabio - Tercer Gran Maestro de la Orden del Ojo de Cristal,
The Ascension Chamber,La Cámara de Ascensión,
I found the chamber where Calipero’s apprentices go to “ascend” as a reward for their service,Encontré la cámara donde los aprendices de Calipero van a «ascender» como recompensa por sus servicios,
"Grotesquely, the chamber appears to be nothing more than a crematorium","Grotescamente, la cámara no parece ser más que un crematorio",
Kill the Queen,Matar a la Reina,
I found a strange queen in one of the hives,Encontré una extraña reina en una de las colmenas,
I suspect it’s the cause of the collapse of the other colonies and so I quickly dispatched it,Sospecho que es la causa del colapso de las otras colonias y por eso la despaché rápidamente,
Pilgrim's Shrines,Santuarios de Peregrinos,
I found an old pilgrim’s shrine,Encontré un antiguo santuario de peregrinos,
If I could somehow learn the proper prayers and rituals I could probably complete the pilgrimage myself if I wanted,"Si de alguna manera pudiera aprender las oraciones y rituales adecuados, probablemente podría completar la peregrinación yo mismo si quisiera",
The Maiden Sets Sail,La Doncella Zarpa,
We’ve taken to the high seas on the Weathermaiden,Nos hemos hecho a la mar en el Weathermaiden,
"We must, however, stay close to shore lest we invoke the wrath of the behemoth that stalks the deeper seas of the Outer Isles","Sin embargo, debemos permanecer cerca de la costa para no invocar la ira del behemoth que acecha los mares más profundos de las Islas Exteriores.",
#Chapter 5,#Capítulo 5,
A Language of Pure Logic,Un Lenguaje de Lógica Pura,
I managed to somehow become attuned to the language of the great machine inside the ancient structure,Me las arreglé para sintonizar de alguna manera con el lenguaje de la gran máquina dentro de la antigua estructura.,
