Core 1.0.7d,Core 1.0.7d
Spanish,Español
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Ten en cuenta que un turno no avanza hasta que todo el texto emergente del personaje desaparece, por lo que ajustar este número también ajustará la rapidez con la que transcurren los turnos de combate."
On,Activado
If enabled it will use the game’s blended lighting system,"Si se activa, utilizará el sistema de iluminación combinada del juego."
This is what a quote looks like,
Core 1.0.7d,Core 1.0.7d
Core 1.0.7d,Core 1.0.7d
vitality,vitalidad
salt,sal
noble,noble
A member of the ‘old breed’  forged and tempered by the hardships of soldiering,Un miembro de la «vieja raza» forjado y templado por las penurias del servicio militar.
Spanish,Español
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Ten en cuenta que un turno no avanza hasta que todo el texto emergente del personaje desaparece, por lo que ajustar este número también ajustará la rapidez con la que transcurren los turnos de combate."
On,Activado
TWO-HANDED INITIATE,INICIADO A DOS MANOS
You can't make camp on this map,No se puede acampar en este mapa
HP,PG
Alerted,Alertado
Rabid Rat begun,Rata Rabiosa iniciada
Saved,Guardado
Immune,Inmune
Gained,¡Obtenidos
XP!,XP!
Let’s go,Vamos.
SKALD Core 1.0.7d,SKALD Core 1.0.7d
Press TAB to exit or ESC to clear console,Pulse TAB para salir o ESC para borrar la consola
Some helpful commands,Algunos comandos útiles
heals the party fully - adds 1000 gold. - Wins any combat,Cura completamente al grupo - Añade 1000 de oro. - Gana cualquier combate
crafting,artesanía
potatoes,patatas
perklin,perklin
Blunt Damage,Daño contundente
Aaron is occupied!,¡Aaron está ocupado!
Key,llave
TWO-HANDER,DOS MANOS
development points,puntos de desarrollo
I believe you - but my contract with these men does not mention your survival,Te creo - pero mi contrato con estos hombres no menciona tu supervivencia
Some pierce straight through the deck - Others snap the masts like they were matchsticks,"Algunos atraviesan la cubierta, otros rompen los mástiles como si fueran cerillas."
Berryn,Berryn
Save Game,Guardar partida
OVERWRITE,SOBREESCRIBIR
Type a name and press 'Save'!,Escribe un nombre y pulsa «Guardar».
Name must be between 3 and 60 characters long and must be a valid file-name,El nombre debe tener entre 3 y 60 caracteres y debe ser un nombre de archivo válido.
Come here whelp!,¡Ven aquí cachorro!
will automatically,
FAIL,FALLO
this skill check due to having low Skill Score versus the Difficulty,de habilidad frente a la dificultad
Woof,Woof
I hear master Cato isn't seeing anyone,He oído que el maestro Cato no está viendo a nadie
Sub-Quest Started,Sub-búsqueda iniciada
Sub-Quest Failed,Sub-búsqueda fallida
Quest Failed,Búsqueda fallida
Hard were the years that followed  the mercenary life is bloody and unforgiving,Duros fueron los años que siguieron la vida mercenaria es sangrienta e implacable
BERRYN,BERRYN
Achievement Unlocked,Logo Desbloqueado
Fog and Rain Night,Noche de niebla y lluvia
Fog and Rain Day,Día de niebla y lluvia
Water blocks your path!,¡El agua bloquea tu camino!
Thief Feats,Hazañas de ladrón
Kat reaches Level,Kat alcanza el nivel
Female Human,Hembra Humana
Trinket,Baratija
reaches Level,alcanza el nivel
This item cannot be used like this,Este objeto no puede usarse así
You scale the wall,Escalas la pared
Tonight's Meal,Comida de esta noche
Party's Food,Comida de la Fiesta
Activities,Actividades
Train,Entrena
Begin Rest,Comienza el Descanso
Manage Party,Gestiona la Fiesta
"0,03 lb",
A Comfortable Camp,Un Campamento Cómodo
Foggy Day,Día Nublado
LORE 5+,LORE 5+
A LORE score of 5 or higher is required to succeed,Se requiere una puntuación de LORE de 5 o superior para tener éxito
Lore (,Lore (
) + Static Bonus (,) + Bonificación Estática (
does not beat Difficulty (,no supera la Dificultad (
STATIC TEST,PRUEBA ESTÁTICA
Ragnar only has a LORE score of,Ragnar sólo tiene una puntuación de LORE de
ration,ración
Next,Siguiente
Prev,Anterior
ROTCRAWLER INSECT,INSECTO ROTCRAWLER
presence,presencia
Overcast Day,Día Nublado
Giant Bat recovers from surprise!,¡Murciélago Gigante se recupera de la sorpresa!
Disengages,Desengancha
Giant Bat Disengages,Giant Bat Desengancha
Miss,Miss
Masterwork Full Helmet of Crafting,Masterwork Full Helmet of Crafting
Masterwork Full Helmet of Crafting,Masterwork Full Helmet of Crafting
MASTERWORK FULL HELMET OF CRAFTING,MASTERWORK FULL HELMET OF CRAFTING
Enchanted,Encantado
Save3 Ragnar 07.14.25 01.09.11_,Save3 Ragnar 07.14.25 01.09.11_
Save3 Ragnar 07.14.25 01.09.11,Save3 Ragnar 07.14.25 01.09.11
Giant Lee,Giant Lee
Albino Le,Albino Le
Select Ability!,¡Selecciona habilidad!
Backstab!,¡Puñalada trapera!
#Afraid,#Afraid
SAVE3 RAGNAR 07.14.25 01.09.11,SAVE3 RAGNAR 07.14.25 01.09.11
Save4 Ragnar 07.14.25 01.12.35_,Save4 Ragnar 07.14.25 01.12.35_
Save4 Ragnar 07.14.25 01.12.35,Save4 Ragnar 07.14.25 01.12.35
SAVE4 RAGNAR 07.14.25 01.12.35,SAVE4 RAGNAR 07.14.25 01.12.35
Are you sure you want to overwrite the following save,¿Estás seguro de que quieres sobrescribir el siguiente save
Giant Cra,Cangrejo Gigante
Crab recovers from surprise!,¡Cangrejo se recupera de la sorpresa!
Ragnar is too hurt to force a lock,Ragnar está demasiado herido para forzar un bloqueo
Necklace,Collar
You cannot make camp in this area,No se puede acampar en esta zona
"However, you can sleep in a bed if you can find one!","Sin embargo, ¡puedes dormir en una cama si encuentras una!"
Like I said gutting the bastard will go a long way towards setting things right,"Como he dicho, destripar a ese bastardo contribuirá en gran medida a arreglar las cosas."
Crab Disengages,El Cangrejo se Desengancha
is Flat-Footed,se Desengancha
A Rough Camp,Un Campamento Duro
ACTIVITY,ACTIVIDAD
The character attempts to instruct the party using their Lore skill,El personaje intenta instruir al grupo usando su habilidad de Lore
Success gives a small XP reward,El éxito da una pequeña recompensa de XP
Kat must roll,Kat debe tirar
versus,contra
Ragnar must roll,Ragnar debe tirar
Forage,Forrajear
The character has a chance to find some extra food depending on their Survival skill,El personaje tiene una oportunidad de encontrar algo de comida extra dependiendo de su habilidad de Supervivencia
The food found cannot be consumed until the next rest period,La comida encontrada no puede ser consumida hasta el siguiente periodo de descanso
Fletch,Fletch
The character has a chance to create a small number of Hunting Arrows depending on their Crafting skill,El personaje tiene una oportunidad de crear un pequeño número de Flechas de Caza dependiendo de su habilidad de Artesanía
Entertain,Entretener
The character tries to lift their comrades' spirits using their Diplomacy skill,El personaje intenta levantar el ánimo de sus compañeros usando su habilidad de Diplomacia
Success adds the Motivated Condition to all party-members,El éxito añade la Condición Motivado a todos los miembros del grupo. miembros del grupo
Camp activities begin,Comienzan las actividades del campamento
Ragnar is too heavily wounded to work,Ragnar está demasiado herido para trabajar
Kat is too hungry to work,Kat está demasiado hambrienta para trabajar
Z,Z
Z z,Z z
Z z Z,Z z Z
The party rested 8 hours and recovered partially,El grupo descansa 8 horas y se recupera parcialmente
You rest for 8 hours,Descansas 8 horas
Fix Rope,Fijar Cuerda
Foggy Night,Foggy Night
Stars are birthed and die collapsing in on themselves in cataclysms that shake the very foundations of creation,Las estrellas nacen y mueren derrumbándose sobre sí mismas en cataclismos que sacuden los cimientos de la creación.
on 2d6 to succeed on this,en 2d6 para tener éxito
You manage to descend the wall,Consigues descender por la pared
Dire Houn,Dire Houn
Spanish,Español
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass",
Ragnar,Ragnar
Auto_Save,Auto_Save
"For Sofie, Amalie and Kathrine","For Sofie, Amalie and Kathrine"
WRITTEN AND DEVELOPED BY,ESCRITO Y DESARROLLADO POR
Anders Lauridsen,Anders Lauridsen
PUBLISHED BY,PUBLISHED BY
Raw Fury,Raw Fury
WITH FINANCIAL SUPPORT FROM,CON EL APOYO FINANCIERO DE
Innovation Norway,Innovation Norway
Norwegian Film Institute,Norwegian Film Institute
PRODUCED BY,PRODUCIDO POR
Charles Livermore,Charles Livermore
Hendrik Richter,Hendrik Richter
Joel Sieh,Joel Sieh
Swen Vincke,Swen Vincke
Tom Jackson,Tom Jackson
ART,ARTE
Maarten Boot,Maarten Boot
Gustav Samuelson,Gustav Samuelson
John Henderson,John Henderson
Paolo Rathjen,Paolo Rathjen
Michael Stefanakis,Michael Stefanakis
Marco Pedrana,Marco Pedrana
Scott Hartill,Scott Hartill
Torgeir Fjereide,Torgeir Fjereide
Henning Ludvigsen,Henning Ludvigsen
KEY ART,ARTE CLAVE
Tuandat Phan,Tuandat Phan
MUSIC,MUSICA
Romanus Surt,Romanus Surt
SOUND FX,EFECTOS DE SONIDO
Edwin Montgomery,Edwin Montgomery
ADDITIONAL WRITING,ESCRITURA ADICIONAL
Rachael A Edwards,Rachael A Edwards
Danny Salfield Wadeson,Danny Salfield Wadeson
ADDITIONAL CODIING,PROGRAMACION ADICIONAL
Ivan Gradecak,Ivan Gradecak
A special thanks to NAIVE,Un agradecimiento especial a NAIVE
for their work on,por su trabajo en
the Skald Trailer,el Trailer de SKALD
Robin Jonsson,Robin Jonsson
Oskar Gullstrand,Oskar Gullstrand
Simon Rudholm,Simon Rudholm
Jakob Oldenburg,Jakob Oldenburg
Cecilia Azout,Cecilia Azout
A special thanks to ARTISTRY,A special thanks to ARTISTRY
the Launch Trailer,the Launch Trailer
Calle Norberg,Calle Norberg
John Persson,John Persson
CROWDFUNDERS,CROWDFUNDERS
DARK LORD TIER,DARK LORD TIER
DEITY TIER,DEITY TIER
Detocroix,Detocroix
PirateHeart,PirateHeart
Stefano Cinghialotto,Stefano Cinghialotto
Thomas Hays,Thomas Hays
IMPERATOR TIER,IMPERATOR TIER
Adam Burr,Adam Burr
Adam Trojanowski,Adam Trojanowski
Alex Rodriguez,Alex Rodriguez
Andrew Emau,Andrew Emau
Andrew Hurley,Andrew Hurley
Chris Bolin,Chris Bolin
Christian Turcic,Christian Turcic
Christopher J,Christopher J
Mallery,Mallery
Claudio Marro Filosa,Claudio Marro Filosa
Dan Spitzley,Dan Spitzley
David Cohn,David Cohn
David Youd,David Youd
Dominik Reichardt,Dominik Reichardt
Donald Gjoka,Donald Gjoka
Espen Kummeneje,Espen Kummeneje
Forrest Lowe,Forrest Lowe
fred.hiss,fred.hiss
General deFault,General deFault
GroovyDad and the Slap Me Some Skin Kids,GroovyDad and the Slap Me Some Skin Kids
Huffy,Huffy
Jaakko Kosola,Jaakko Kosola
Jan H,Jan H
Kruger,Kruger
Jarrod Kailef,Jarrod Kailef
Jeff Groetsema,Jeff Groetsema
Jon Birnbaum,Jon Birnbaum
josh.bartel,josh.bartel
Kurt K,Kurt K
Magnus Langseter,Magnus Langseter
Matt Barton,Matt Barton
Matt Shively,Matt Shively
Matthew Fitzgerald,Matthew Fitzgerald
mind,mind
pauloesquilo,pauloesquilo
Peter E,Peter E
Robert Schultz,Robert Schultz
Robert Vandeventer,Robert Vandeventer
Sanwei Wang,Sanwei Wang
Scotoma,Scotoma
Shawn McKee,Shawn McKee
Steffen Harders,Steffen Harders
Stephen Conley,Stephen Conley
travisyates,travisyates
Vincent Nix,Vincent Nix
Wittler,Wittler
Y,Y
K,K
Lee,Lee
HIGH WIZARD TIER,HIGH WIZARD TIER
Alain Deschenes,Alain Deschenes
Alex Norton,Alex Norton
Andre Morais,Andre Morais
Andrew Brozek,Andrew Brozek
BacteriaMage,BacteriaMage
Camilla Lauridsen,Camilla Lauridsen
Carl Andersson,Carl Andersson
Chad Alexander,Chad Alexander
Chauncey Fannin,Chauncey Fannin
Chris Freeman,Chris Freeman
Chris Torrence,Chris Torrence
Damjan Mozetic,Damjan Mozetic
Dan Thoresen,Dan Thoresen
David Guiot,David Guiot
David LeCompte,David LeCompte
David Provost,David Provost
DeathKnight,DeathKnight
Larian,Larian
don,don
Eirik Heen,Eirik Heen
Eric LECLERC,Eric LECLERC
EudaemonicTonic,EudaemonicTonic
fandenivoldsk,fandenivoldsk
foboman,foboman
Frank 'Darthan Haj' Flury,Frank 'Darthan Haj' Flury
Frank Wolter,Frank Wolter
Games Dead LoL,Games Dead LoL
Gerald-Markus Zabos,Gerald-Markus Zabos
Grant Laird Jr,Grant Laird Jr
Henry Curley,Henry Curley
Hergon,Hergon
Insert Disk,Insert Disk
Istvan Seres,Istvan Seres
James Latzer,James Latzer
Jan Burda,Jan Burda
Jani Grondahl,Jani Grondahl
Janne Markkula,Janne Markkula
Jo Bjornar Hausnes,Jo Bjornar Hausnes
Joel Panadero Alcaide,Joel Panadero Alcaide
Jon Mines,Jon Mines
Juan Rodriguez Sabater,Juan Rodriguez Sabater
Kyle Good,Kyle Good
LP,LP
Luca,Luca
M.B,M.B
maik.dobbermann,maik.dobbermann
Margaret Anderson,Margaret Anderson
Mark Bauermeister,Mark Bauermeister
Mathias Luzius,Mathias Luzius
Michael Wolf,Michael Wolf
Mirko Koponen,Mirko Koponen
Nick Walton,Nick Walton
olpika,olpika
Pablo Giommi,Pablo Giommi
Peter Cutting,Peter Cutting
Pix,Pix
pongo,pongo
Rich,Rich
Rupert Fuller,Rupert Fuller
Rupert L,Rupert L
Ryan Waldron,Ryan Waldron
samuelschwager,samuelschwager
Stefan Kurz,Stefan Kurz
Steve Coltrin,Steve Coltrin
Tilmann Jakob,Tilmann Jakob
Todd Pollman,Todd Pollman
Tom Hoeppner,Tom Hoeppner
Viktor,Viktor
LORD OF THE REALM TIER,LORD OF THE REALM TIER
Ben B,Ben B
bpstrat,bpstrat
Bryan Pope,Bryan Pope
Christophe Chidoyan,Christophe Chidoyan
Constantin Arndt,Constantin Arndt
Cread Mefford,Cread Mefford
Daniel Bishop,Daniel Bishop
Daniel Hein,Daniel Hein
Dark Star,Dark Star
Ernst Krogtoft,Ernst Krogtoft
Gabor Lux,Gabor Lux
Haakon Jensen,Haakon Jensen
Jason Andrew George Bradwell,Jason Andrew George Bradwell
Jonathan Squyres,Jonathan Squyres
Joseph Rake,Joseph Rake
Joshua Lee,Joshua Lee
Justin Offermann,Justin Offermann
Kai R,Kai R
Hagen,Hagen
Kathrine,Kathrine
Kjetil Kristoffersen,Kjetil Kristoffersen
Kozelek,Kozelek
Milknorf,Milknorf
Na-cia Bell,Na-cia Bell
Peter Kessler,Peter Kessler
Polie D,Polie D
Richard Garriott,Richard Garriott
Simon,Simon
Theo Lane,Theo Lane
Thomas Jansen,Thomas Jansen
Walter Rafelsberger,Walter Rafelsberger
Wilhelm Feibel,Wilhelm Feibel
William Donnell,William Donnell
William Lee,William Lee
Xoel Rodriguez,Xoel Rodriguez
KNIGHT TIER,KNIGHT TIER
Workshop,Workshop
LLC,LLC
Abel Trespalacios,Abel Trespalacios
Alessandro,Alessandro
Alex Beattie,Alex Beattie
Alex Wayman,Alex Wayman
Andre Conde Morais,Andre Conde Morais
Andreas Vlcek,Andreas Vlcek
Anthony Tedesco,Anthony Tedesco
Arnaud Delbos,Arnaud Delbos
Benjamin Fett,Benjamin Fett
Brian Jepson,Brian Jepson
Bumvelcrow,Bumvelcrow
Cameron,Cameron
Carlton Doerner,Carlton Doerner
charis hoo,charis hoo
Chris Stillman,Chris Stillman
Christer Johannessen,Christer Johannessen
Christopher Hamilton,Christopher Hamilton
Christopher Mangum,Christopher Mangum
Christopher White,Christopher White
Chuck Haberl,Chuck Haberl
Corey Woodworth,Corey Woodworth
Daniel Schwen,Daniel Schwen
Darkless,Darkless
Dave Blazina,Dave Blazina
Dominik Božikovic,Dominik Božikovic
ebdholland,ebdholland
Edward Stembler,Edward Stembler
Entropy - Graywalkers supernatural RPG,Entropy - Graywalkers supernatural RPG
ericinexile,ericinexile
Evan Fedeli,Evan Fedeli
fbouvot,fbouvot
Felix Ungman,Felix Ungman
Gensous,Gensous
Godewijn,Godewijn
helgraf dragon,helgraf dragon
Ian McNamee,Ian McNamee
Imban,Imban
InBadPlace,InBadPlace
Iván Rodriguez Perales,Iván Rodriguez Perales
James Critcher,James Critcher
Janis Skuja,Janis Skuja
Jared Mathes,Jared Mathes
jellarinn,jellarinn
Jens,Jens
Jerome Pigeot,Jerome Pigeot
Jessy Greenland,Jessy Greenland
Jim Weil,Jim Weil
Joao Carlos Bastos,Joao Carlos Bastos
John Faulkenbury,John Faulkenbury
John Loner,John Loner
john mcshane,john mcshane
John-James Watkins-Field,John-James Watkins-Field
Jon Orris,Jon Orris
Jonny Ree,Jonny Ree
Joseph Naberhaus,Joseph Naberhaus
Joshua Pudney,Joshua Pudney
Joshua Sawyer,Joshua Sawyer
Joshua Steele,Joshua Steele
Julian Nicolas Treichel,Julian Nicolas Treichel
Kamil Betke,Kamil Betke
Kelvin Saggers,Kelvin Saggers
Ken Capelli,Ken Capelli
korotama,korotama
Lars Larson,Lars Larson
larsson.ellen86,larsson.ellen86
Lovro Skiljic,Lovro Skiljic
Lucas Moura,Lucas Moura
Lyman Green,Lyman Green
Magnus Osterlind,Magnus Osterlind
Marco Pomes,Marco Pomes
Marti Ijn,Marti Ijn
Matthew Beckham,Matthew Beckham
Matthew McDonald,Matthew McDonald
Maus Merryjest AGL589,Maus Merryjest AGL589
Mean774,Mean774
Michael Heck,Michael Heck
Michael Reilly,Michael Reilly
Michael Writer,Michael Writer
Mike Oxoft,Mike Oxoft
Miles Franklin Hamaker,Miles Franklin Hamaker
MR JAMES GIBBON,MR JAMES GIBBON
Nadia M,Nadia M
Neil Allain,Neil Allain
Neil Lalonde,Neil Lalonde
Obsidian Razor,Obsidian Razor
Oscar Panic Rosales,Oscar Panic Rosales
Patrick Davies,Patrick Davies
Paul Frayne,Paul Frayne
peacedog,peacedog
Rambutaan,Rambutaan
Ranger Joe,Ranger Joe
Re-Miel,Re-Miel
Richard I,Richard I
Rikkles,Rikkles
Robert Kelley,Robert Kelley
Robert W,Robert W
Kist,Kist
Ronald Utter,Ronald Utter
Shalashaskka,Shalashaskka
Shane Stacks,Shane Stacks
Stefan Eckert,Stefan Eckert
Stephane Cotichini,Stephane Cotichini
Stephen Sheahan,Stephen Sheahan
SupremeHentaiSensei,SupremeHentaiSensei
Svetlin Balcanski,Svetlin Balcanski
thylordroot,thylordroot
Timo Bosma,Timo Bosma
Timo Varis,Timo Varis
Tobias Sundstrom,Tobias Sundstrom
Toby Jennings,Toby Jennings
Tyler Sigman,Tyler Sigman
ubersuss Zitrone,ubersuss Zitrone
Walter McInnis,Walter McInnis
Warren Schader,Warren Schader
Wesley Rast,Wesley Rast
Zar Ramos,Zar Ramos
FREEMAN TIER,FREEMAN TIER
A'ndrea Marcyniuk,A'ndrea Marcyniuk
AG,AG
Akseli Lahtinen,Akseli Lahtinen
Al Romaithi,Al Romaithi
Albert Gutowski,Albert Gutowski
Alex Hawkins,Alex Hawkins
Alexander Jeger,Alexander Jeger
Alexis White,Alexis White
Alf Seegert,Alf Seegert
Angus Faulkner,Angus Faulkner
Anthony C,Anthony C
Argyrios Poungouras,Argyrios Poungouras
Arild Grebstad,Arild Grebstad
Armisael,Armisael
Arthur B,Arthur B
Benjamin Kristensen,Benjamin Kristensen
Bernd Niemietz,Bernd Niemietz
Bernd Stapf,Bernd Stapf
Bernhard Bockelbrink,Bernhard Bockelbrink
Bertine Tonseth,Bertine Tonseth
Bill Steyert,Bill Steyert
bjohnson003,bjohnson003
Brandon Alessi,Brandon Alessi
Browncoat Jayson,Browncoat Jayson
Charles Wolfe,Charles Wolfe
Chris Brand,Chris Brand
Chris Goad,Chris Goad
Chris Rosneau,Chris Rosneau
cimerians,cimerians
conan edw,conan edw
DanEE,DanEE
danwinkler13,danwinkler13
dave.bowman.1950,dave.bowman.1950
David desJardins,David desJardins
deleted,deleted
Dietmar Maderbacher,Dietmar Maderbacher
Dirk Arnholt,Dirk Arnholt
Don Campbell,Don Campbell
Drew Merrithew,Drew Merrithew
edible_pants,edible_pants
Eli Tarnholm,Eli Tarnholm
Erwin Wolf,Erwin Wolf
Evgeniy Tyurkin,Evgeniy Tyurkin
Fabio Regis,Fabio Regis
Fermin Serena Hortas,Fermin Serena Hortas
Florent WAGNER,Florent WAGNER
furroy,furroy
Gabor Csomos,Gabor Csomos
Geoff Jones,Geoff Jones
Gus,Gus
HexCrawler,HexCrawler
hobotroid,hobotroid
htn-ks,htn-ks
Hugh Winwood-Smith,Hugh Winwood-Smith
Hunvagy,Hunvagy
Hyva Kalsium Lich,Hyva Kalsium Lich
Ivan Assen Ivanov,Ivan Assen Ivanov
James Kersey,James Kersey
James Porter,James Porter
Jamie Gallagher,Jamie Gallagher
Jamie Myland,Jamie Myland
Jan Jansen,Jan Jansen
jason.keglovitz,jason.keglovitz
jeff.gerber,jeff.gerber
Jeffrey A,Jeffrey A
Kline,Kline
Jens Boesebeck,Jens Boesebeck
Jens Leibig,Jens Leibig
Jeremy Browning,Jeremy Browning
Jim Reijers,Jim Reijers
Johan Robert Clement,Johan Robert Clement
Johnathan L Bingham,Johnathan L Bingham
Jon Wetterberg,Jon Wetterberg
Jonathan Ly Davis,Jonathan Ly Davis
joopy,joopy
Joseph Rogers,Joseph Rogers
Joshua Volpert,Joshua Volpert
Josselin Loizeau,Josselin Loizeau
Julia Minamata,Julia Minamata
Julien GONIN,Julien GONIN
Katja Boness,Katja Boness
Kelly,Kelly
Ken,Ken
Ken Cavanaugh,Ken Cavanaugh
Kenneth Phillips,Kenneth Phillips
Kieran Fallon,Kieran Fallon
Kjetil Engeset Bjorneset,Kjetil Engeset Bjorneset
Korkybuz,Korkybuz
Kyle Maxwell,Kyle Maxwell
Llew Mason,Llew Mason
Logan Talley,Logan Talley
MadBeard,MadBeard
Marcin Segit,Marcin Segit
Mark Harvey,Mark Harvey
Marshall Bockrath,Marshall Bockrath
Matthew Bongers,Matthew Bongers
Michael Leesch,Michael Leesch
Michael Mak,Michael Mak
Michael Schmidt,Michael Schmidt
Michael Smith,Michael Smith
Michal Krzyzosiak,Michal Krzyzosiak
Mickmils,Mickmils
Mike Litzinger,Mike Litzinger
Mikkel Lunnemann,Mikkel Lunnemann
Minoru Natsutani,Minoru Natsutani
Monkcrab,Monkcrab
Moritz Paulus,Moritz Paulus
Narakir Narakir,Narakir Narakir
Nathan Mangan,Nathan Mangan
Niall Rooney,Niall Rooney
Nicholas Mulherin,Nicholas Mulherin
Nick Wade,Nick Wade
Nigel Barrow,Nigel Barrow
Norihisa Jyounotuka,Norihisa Jyounotuka
O u,O u
Ole Ciliox,Ole Ciliox
Olivier Guinart,Olivier Guinart
PaoloSpaziosi,PaoloSpaziosi
Patrick LaBine,Patrick LaBine
Paul Buchholz,Paul Buchholz
Paul Leone,Paul Leone
Rabih Ghandour,Rabih Ghandour
Reapww,Reapww
Ricardo Olavarria Ginocchio,Ricardo Olavarria Ginocchio
Richard Zajic,Richard Zajic
Ridley,Ridley
Riftstone,Riftstone
Rob Rogan,Rob Rogan
Robert DiNicolas,Robert DiNicolas
Robert Gomez,Robert Gomez
Robert Noble,Robert Noble
Roberto A Rivera,Roberto A Rivera
Rodimus Prime,Rodimus Prime
Rodney Ruble,Rodney Ruble
Roman Kamyk,Roman Kamyk
Ryan Kent,Ryan Kent
Ryan P,Ryan P
S_R,S_R
Sami Tattari,Sami Tattari
Sammaho,Sammaho
Sarunas Salkauskas,Sarunas Salkauskas
Scott,Scott
Sean Branney,Sean Branney
Simon Dickie,Simon Dickie
Simon Hannaford,Simon Hannaford
Soren Lauridsen,Soren Lauridsen
Stefan Mothes,Stefan Mothes
Stephen McManus,Stephen McManus
Steven Whisken,Steven Whisken
StrangeCat,StrangeCat
Strateture,Strateture
Stuart Glass,Stuart Glass
Sven Rahmann,Sven Rahmann
Thomas Emmett,Thomas Emmett
Thomas Hjelm,Thomas Hjelm
Thomas Lockett,Thomas Lockett
Tom Beaumont,Tom Beaumont
Tommy P,Tommy P
Tony Manfredonia,Tony Manfredonia
Treefrog78,Treefrog78
Tristen Grant,Tristen Grant
undeniable_sausage,undeniable_sausage
Vadim Kejlin,Vadim Kejlin
Vedran Vrbanc,Vedran Vrbanc
Venron Hirokawa,Venron Hirokawa
Vorvek,Vorvek
